Date,Open,High,Low,Close,Adj Close,Volume
07-05-2015,1232.449951,1276.875,1226.849976,1272.625,1053.987183,3205028
08-05-2015,1280,1294,1258.150024,1263.625,1046.533569,3003664
11-05-2015,1267.5,1281.525024,1262.5,1278,1058.438721,2573082
12-05-2015,1280,1282.5,1256.5,1261.449951,1044.732178,2467386
13-05-2015,1273.5,1273.5,1240.224976,1257.699951,1041.625977,1863774
14-05-2015,1260,1260,1242.5,1249.625,1034.938721,1309050
15-05-2015,1257.5,1266.199951,1250.5,1255.574951,1039.866211,1461454
18-05-2015,1257.050049,1262.625,1248.550049,1260.199951,1043.697266,4507752
19-05-2015,1259.699951,1265,1248.375,1256.349976,1040.507935,1957722
20-05-2015,1260,1284.949951,1258.449951,1278.525024,1058.874146,1897814
21-05-2015,1278.5,1290,1274.074951,1277.75,1058.231689,1579578
22-05-2015,1275,1314.375,1269.625,1308.949951,1084.071655,2691632
25-05-2015,1310,1318.449951,1292.849976,1300.5,1077.073242,982978
26-05-2015,1302.5,1311.625,1294.449951,1304.425049,1080.324341,1961740
27-05-2015,1304,1316.574951,1296,1307.625,1082.974243,1620690
28-05-2015,1301.949951,1311.5,1291.125,1304.75,1080.593018,2763608
29-05-2015,1308.5,1324.300049,1298.625,1305.150024,1080.924438,4423532
01-06-2015,1304.724976,1323.550049,1304.175049,1308.875,1084.009399,882264
02-06-2015,1308,1315,1295.25,1299.949951,1076.618164,3935820
03-06-2015,1302,1312.800049,1295.25,1305.449951,1081.172852,1804684
04-06-2015,1308.550049,1311.400024,1294.25,1302.824951,1078.998901,4131468
05-06-2015,1296,1304.5,1285,1287.925049,1076.574707,2308534
08-06-2015,1295,1295,1280.824951,1288.724976,1077.243408,1570320
09-06-2015,1292.5,1295,1275.5,1280.824951,1070.639893,2578914
10-06-2015,1283,1305,1281.900024,1300.375,1086.981812,2763350
11-06-2015,1302.75,1306.5,1278.375,1285.650024,1074.672729,1847336
12-06-2015,1285.949951,1294.474976,1238.400024,1252.900024,1047.297485,2571456
15-06-2015,1252.650024,1260.224976,1240.5,1252.400024,1046.879883,2525176
16-06-2015,1250,1259.650024,1247.224976,1256,1049.888672,1267396
17-06-2015,1260.5,1264.574951,1250.900024,1256.900024,1050.640747,1975720
18-06-2015,1257.5,1273.150024,1254,1265.025024,1057.432861,2165046
19-06-2015,1267.5,1277.5,1263.550049,1274.775024,1065.582764,1999610
22-06-2015,1273.5,1300,1273.5,1295.75,1083.115845,1102002
23-06-2015,1300,1304,1283.599976,1287.300049,1076.05249,898318
24-06-2015,1290,1293.949951,1279.425049,1285.150024,1074.255249,1170246
25-06-2015,1281,1286.5,1272.074951,1275,1065.770874,1930992
26-06-2015,1275.099976,1298.175049,1275.099976,1296.400024,1083.659302,1290102
29-06-2015,1286,1302,1271.699951,1296.449951,1083.700806,1372756
30-06-2015,1292.5,1294.375,1270,1275.474976,1066.167725,1549952
01-07-2015,1281.949951,1304,1278.375,1296.550049,1083.784546,1279708
02-07-2015,1300,1301.474976,1285.525024,1288.875,1077.368774,1445880
03-07-2015,1286.525024,1305,1285,1301.949951,1088.298462,963470
06-07-2015,1290.150024,1322.5,1290.150024,1316.650024,1100.585938,1182338
07-07-2015,1316.375,1323.449951,1301.5,1308.125,1093.460205,1642836
08-07-2015,1298.974976,1310.849976,1290.25,1297.550049,1084.620483,2667850
09-07-2015,1297.5,1299.125,1253.324951,1261.25,1054.276978,3934122
10-07-2015,1279.5,1279.5,1227.5,1237.175049,1034.152954,8263654
13-07-2015,1237.699951,1259.300049,1237.699951,1254.775024,1048.864624,2280308
14-07-2015,1255.5,1257.5,1245,1249.75,1044.664063,1703274
